iter	Passed	Remaining
360	3037	5376
361	3043	5364
362	3050	5352
363	3057	5342
364	3065	5333
365	3074	5325
366	3083	5317
367	3091	5309
368	3099	5300
369	3108	5292
370	3115	5281
371	3122	5271
372	3130	5261
373	3137	5252
374	3144	5241
375	3152	5231
376	3159	5220
377	3166	5210
378	3174	5201
379	3181	5190
380	3189	5181
381	3195	5170
382	3204	5161
383	3211	5152
384	3219	5142
385	3226	5132
386	3234	5123
387	3242	5114
388	3249	5104
389	3257	5094
390	3264	5084
391	3271	5074
392	3278	5064
393	3286	5055
394	3293	5044
395	3301	5035
396	3308	5024
397	3314	5013
398	3322	5004
399	3328	4993
400	3336	4984
401	3343	4973
402	3351	4964
403	3358	4954
404	3365	4944
405	3372	4934
406	3379	4924
407	3387	4915
408	3394	4904
409	3402	4895
410	3408	4885
411	3415	4875
412	3422	4865
413	3430	4855
414	3437	4845
415	3444	4835
416	3452	4826
417	3460	4817
418	3468	4810
419	3477	4802
420	3486	4795
421	3495	4788
422	3504	4780
423	3514	4774
424	3522	4765
425	3531	4758
426	3538	4749
427	3548	4742
428	3555	4732
429	3564	4725
430	3571	4715
431	3583	4711
432	3590	4702
433	3601	4696
434	3607	4686
435	3617	4679
436	3624	4669
437	3633	4661
438	3641	4653
439	3650	4646
440	3657	4636
441	3666	4628
442	3674	4620
443	3684	4613
444	3691	4603
445	3700	4597
446	3707	4587
447	3717	4580
448	3723	4569
449	3732	4562
450	3740	4553
451	3751	4548
452	3760	4540
453	3768	4532
454	3776	4523
455	3785	4516
456	3793	4507
457	3802	4499
458	3810	4491
459	3818	4482
460	3827	4474
461	3834	4465
462	3843	4457
463	3854	4452
464	3863	4445
465	3870	4435
466	3879	4427
467	3886	4418
468	3896	4411
469	3903	4401
470	3913	4395
471	3920	4385
472	3930	4379
473	3937	4369
474	3945	4361
475	3955	4354
476	3964	4346
477	3972	4338
478	3983	4332
479	3993	4326
480	4002	4318
481	4010	4310
482	4018	4301
483	4027	4294
484	4035	4285
485	4044	4277
486	4053	4269
487	4062	4262
488	4072	4255
489	4081	4247
490	4089	4239
491	4097	4230
492	4105	4222
493	4113	4213
494	4122	4205
495	4130	4196
496	4138	4188
497	4146	4179
498	4154	4170
499	4162	4162
500	4170	4153
501	4177	4144
502	4185	4135
503	4193	4127
504	4201	4118
505	4209	4110
506	4217	4100
507	4227	4093
508	4235	4085
509	4245	4079
510	4253	4070
511	4262	4063
512	4270	4054
513	4277	4044
514	4285	4035
515	4292	4026
516	4299	4016
517	4306	4006
518	4312	3996
519	4319	3987
520	4326	3977
521	4333	3967
522	4339	3957
523	4346	3947
524	4355	3940
525	4363	3932
526	4371	3923
527	4380	3915
528	4389	3907
529	4397	3899
530	4405	3891
531	4414	3883
532	4421	3874
533	4430	3866
534	4437	3857
535	4445	3848
536	4452	3839
537	4461	3831
538	4469	3822
539	4477	3814
540	4486	3806
541	4498	3801
542	4508	3794
543	4517	3786
544	4528	3780
545	4538	3773
546	4547	3765
547	4558	3759
548	4566	3751
549	4575	3743
550	4583	3735
551	4593	3728
552	4603	3721
553	4612	3713
554	4620	3704
555	4628	3696
556	4637	3688
557	4645	3679
558	4652	3670
559	4660	3662
560	4669	3653
561	4679	3646
562	4687	3638
563	4695	3629
564	4702	3620
565	4709	3610
566	4717	3602
567	4726	3594
568	4734	3585
569	4741	3576
570	4748	3567
571	4754	3557
572	4762	3549
573	4770	3540
574	4780	3533
575	4787	3523
576	4793	3514
577	4800	3504
578	4807	3495
579	4815	3487
580	4823	3478
581	4831	3470
582	4839	3461
583	4847	3452
584	4854	3444
585	4863	3435
586	4873	3428
587	4882	3421
588	4893	3414
589	4903	3407
590	4911	3398
591	4923	3393
592	4938	3389
593	4953	3385
594	4965	3379
595	4979	3375
596	4990	3368
597	5000	3361
598	5010	3354
599	5019	3346
600	5030	3339
601	5040	3332
602	5051	3325
603	5063	3320
604	5077	3314
605	5086	3307
606	5097	3300
607	5109	3294
608	5116	3285
609	5127	3278
610	5136	3270
611	5145	3262
612	5154	3254
613	5163	3246
614	5177	3241
615	5190	3235
616	5201	3228
617	5212	3222
618	5222	3214
619	5232	3206
620	5243	3200
621	5252	3191
622	5263	3184
623	5275	3178
624	5284	3170
625	5295	3163
626	5303	3154
627	5311	3146
628	5322	3139
629	5330	3130
630	5340	3123
631	5348	3114
632	5358	3106
633	5366	3097
634	5375	3089
635	5383	3081
636	5393	3073
637	5401	3065
638	5410	3056
639	5420	3049
640	5428	3040
641	5438	3032
642	5445	3023
643	5455	3015
644	5462	3006
645	5473	2999
646	5484	2992
647	5494	2984
648	5506	2978
649	5519	2971
650	5530	2964
651	5540	2957
652	5553	2950
653	5569	2946
654	5581	2939
655	5589	2930
656	5599	2923
657	5607	2914
658	5618	2907
659	5625	2897
660	5636	2890
661	5646	2882
662	5655	2874
663	5665	2867
664	5673	2857
665	5684	2850
666	5691	2841
667	5702	2834
668	5710	2825
669	5719	2817
670	5728	2808
671	5738	2800
672	5747	2792
673	5755	2784
674	5766	2776
675	5773	2767
676	5783	2759
677	5792	2750
678	5801	2742
679	5809	2733
680	5818	2725
681	5826	2716
682	5834	2707
683	5842	2699
684	5850	2690
685	5858	2681
686	5867	2673
687	5874	2664
688	5882	2655
689	5890	2646
690	5898	2637
691	5906	2629
692	5914	2620
693	5921	2611
694	5931	2602
695	5939	2594
696	5948	2586
697	5957	2577
698	5967	2569
699	5976	2561
700	5983	2552
701	5993	2544
702	6000	2535
703	6013	2528
704	6024	2520
705	6032	2512
706	6050	2507
707	6064	2501
708	6074	2493
709	6083	2484
710	6095	2477
711	6105	2469
712	6114	2461
713	6126	2454
714	6133	2444
715	6143	2436
716	6151	2427
717	6159	2419
718	6166	2410
719	6176	2401
720	6185	2393
721	6194	2385
722	6202	2376
723	6209	2367
724	6218	2358
725	6246	2357
726	6275	2356
727	6289	2349
728	6305	2343
729	6317	2336
730	6325	2327
731	6333	2318
732	6342	2310
733	6350	2301
734	6358	2292
735	6367	2283
736	6375	2275
737	6383	2266
738	6393	2257
739	6403	2249
740	6410	2240
741	6421	2232
742	6429	2224
743	6439	2215
744	6450	2207
745	6460	2199
746	6469	2191
747	6476	2182
748	6486	2173
749	6493	2164
750	6503	2156
751	6509	2146
752	6519	2138
753	6526	2129
754	6536	2121
755	6543	2111
756	6554	2103
757	6561	2094
758	6569	2086
759	6577	2076
760	6586	2068
761	6593	2059
762	6602	2050
763	6609	2041
764	6618	2033
765	6626	2024
766	6634	2015
767	6641	2006
768	6650	1997
769	6656	1988
770	6668	1980
771	6677	1972
772	6686	1963
773	6696	1955
774	6705	1946
775	6717	1939
776	6730	1931
777	6741	1923
778	6754	1916
779	6767	1908
780	6777	1900
781	6787	1892
782	6798	1884
783	6808	1875
784	6822	1868
785	6833	1860
786	6845	1852
787	6853	1843
788	6866	1836
789	6878	1828
790	6886	1819
791	6899	1812
792	6912	1804
793	6926	1796
794	6936	1788
795	6947	1780
796	6956	1771
797	6965	1763
798	6973	1754
799	6982	1745
800	6993	1737
801	7001	1728
802	7012	1720
803	7022	1711
804	7033	1703
805	7046	1696
806	7056	1687
807	7066	1679
808	7077	1670
809	7086	1662
810	7095	1653
811	7105	1645
812	7113	1636
813	7122	1627
814	7132	1618
815	7142	1610
816	7151	1601
817	7161	1593
818	7172	1585
819	7180	1576
820	7191	1567
821	7197	1558
822	7208	1550
823	7216	1541
824	7235	1534
825	7247	1526
826	7264	1519
827	7279	1512
828	7301	1506
829	7323	1500
830	7339	1492
831	7376	1489
832	7395	1482
833	7410	1475
834	7421	1466
835	7429	1457
836	7439	1448
837	7448	1439
838	7457	1431
839	7465	1422
840	7474	1413
841	7484	1404
842	7492	1395
843	7502	1386
844	7509	1377
845	7519	1368
846	7526	1359
847	7536	1350
848	7544	1341
849	7555	1333
850	7566	1324
851	7573	1315
852	7584	1307
853	7591	1297
854	7600	1289
855	7607	1279
856	7619	1271
857	7632	1263
858	7641	1254
859	7651	1245
860	7662	1236
861	7670	1228
862	7680	1219
863	7688	1210
864	7697	1201
865	7704	1192
866	7713	1183
867	7720	1174
868	7729	1165
869	7737	1156
870	7744	1147
871	7752	1138
872	7761	1129
873	7769	1120
874	7778	1111
875	7785	1102
876	7795	1093
877	7802	1084
878	7812	1075
879	7819	1066
880	7829	1057
881	7836	1048
882	7845	1039
883	7853	1030
884	7862	1021
885	7869	1012
886	7878	1003
887	7884	994
888	7893	985
889	7900	976
890	7908	967
891	7915	958
892	7923	949
893	7931	940
894	7938	931
895	7946	922
896	7954	913
897	7961	904
898	7968	895
899	7976	886
900	7983	877
901	7992	868
902	7998	859
903	8007	850
904	8014	841
905	8022	832
906	8030	823
907	8038	814
908	8046	805
909	8054	796
910	8063	787
911	8071	778
912	8079	769
913	8086	760
914	8094	751
915	8102	743
916	8110	734
917	8117	725
918	8126	716
919	8133	707
920	8143	698
921	8151	689
922	8159	680
923	8166	671
924	8174	662
925	8181	653
926	8190	644
927	8196	635
928	8205	627
929	8211	618
930	8220	609
931	8226	600
932	8234	591
933	8243	582
934	8250	573
935	8258	564
936	8266	555
937	8273	546
938	8280	537
939	8289	529
940	8295	520
941	8305	511
942	8311	502
943	8321	493
944	8328	484
945	8338	475
946	8345	467
947	8355	458
948	8362	449
949	8371	440
950	8377	431
951	8386	422
952	8393	413
953	8403	405
954	8411	396
955	8420	387
956	8427	378
957	8436	369
958	8444	361
959	8453	352
960	8461	343
961	8469	334
962	8477	325
963	8486	316
964	8494	308
965	8502	299
966	8512	290
967	8520	281
968	8529	272
969	8537	264
970	8545	255
971	8553	246
972	8561	237
973	8569	228
974	8577	219
975	8584	211
976	8591	202
977	8599	193
978	8606	184
979	8616	175
980	8623	167
981	8632	158
982	8639	149
983	8649	140
984	8657	131
985	8665	123
986	8672	114
987	8681	105
988	8688	96
989	8696	87
990	8703	79
991	8712	70
992	8718	61
993	8728	52
994	8735	43
995	8744	35
996	8750	26
997	8759	17
998	8766	8
999	8774	0
